medicament;typ_medicament
ETORICOXIB BIOGARAN;Produit
ETORICOXIB KRKA;Produit
ETORICOXIB MYLAN;Produit
ETORICOXIB ZYDUS France;Produit
ETRAVIRINE;Substance
EUCREAS;Produit
EULEXINE;Produit
EUPANTOL;Produit
EUPHON;Produit
EUPHYLLINE L A;Produit
EUPRESSYL;Produit
EURARTESIM;Produit
EURELIX;Produit
EUROBIOL;Produit
EURONAC;Produit
EUTHYRAL;Produit
EVANECIA;Produit
EVEROLIMUS;Substance
EVIPLERA;Produit
EVISTA;Produit
EVOLOCUMAB (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
EXACOR;Produit
EXACYL;Produit
EXEDIEM;Produit
EXELON;Produit
EXEMESTANE;Substance
EXEMESTANE ACCORD;Produit
EXEMESTANE ACTAVIS;Produit
EXEMESTANE ARROW;Produit
EXEMESTANE BGR;Produit
EXEMESTANE BIOGARAN;Produit
EXEMESTANE CRISTERS;Produit
EXEMESTANE EG;Produit
EXEMESTANE MYLAN;Produit
EXEMESTANE PFIZER;Produit
EXEMESTANE RANBAXY;Produit
EXEMESTANE RATIO;Produit
EXEMESTANE SANDOZ;Produit
EXEMESTANE TEVA;Produit
EXEMESTANE ZENTIVA;Produit
EXEMESTANE ZENTIVA LAB;Produit
EXEMESTANE ZYDUS FRANCE;Produit
EXENATIDE;Substance
EXFORGE;Produit
EXJADE;Produit
EXOCINE;Produit
EXOMUC;Produit
EXTAVIA;Produit
EXTENCILLINE;Produit
EXTOVYL;Produit
EXTRAIT ALLERGENIQUE DE DERMATOPHAGOIDES FARINAE;Substance
EXTRAIT ALLERGENIQUE DE DERMATOPHAGOIDES PTERONYSSINUS;Substance
EXTRAIT ALLERGENIQUE DE POLLEN D'IVRAIE VIVACE;Substance
EXTRAIT ALLERGENIQUE DE POLLEN DE DACTYLE VULGAIRE;Substance
EXTRAIT ALLERGENIQUE DE POLLEN DE FLEOLE DES PRES;Substance
EXTRAIT ALLERGENIQUE DE POLLEN DE FLOUVE ODORANTE;Substance
EXTRAIT ALLERGENIQUE DE POLLEN DE PÂTURIN DES PRES;Substance
EYLEA;Produit
EZETIMIBE;Substance
EZETIMIBE ALTER;Produit
EZETIMIBE ARROW;Produit
EZETIMIBE BIOGARAN;Produit
EZETIMIBE CRISTERS;Produit
EZETIMIBE EG;Produit
EZETIMIBE EVOLUGEN;Produit
EZETIMIBE KRKA;Produit
EZETIMIBE MYLAN;Produit
EZETIMIBE RANBAXY;Produit
EZETIMIBE SANDOZ;Produit
EZETIMIBE SIMVASTATINE BIOGARAN;Produit
EZETIMIBE SIMVASTATINE EG;Produit
EZETIMIBE SIMVASTATINE MYLAN;Produit
EZETIMIBE SIMVASTATINE TEVA;Produit
EZETIMIBE TEVA;Produit
EZETIMIBE ZENTIVA;Produit
EZETIMIBE ZYDUS;Produit
EZETIMIBE/SIMVASTATINE SANDOZ;Produit
EZETROL;Produit
FAMCICLOVIR;Substance
FAMOTIDINE;Substance
FAMOTIDINE EG;Produit
FAMOTIDINE MYLAN;Produit
FAMPRIDINE;Substance
FAMPYRA;Produit
FARESTON;Produit
FASIGYNE;Produit
FASLODEX;Produit
FAZOL;Produit
FEBUXOSTAT;Substance
FEGENOR;Produit
FELDENE;Produit
FELODIPINE;Substance
FELODIPINE SANDOZ;Produit
FELODIPINE ZENTIVA;Produit
FEMARA;Produit
FEMSEPT;Produit
FEMSEPTCOMBI;Produit
FEMSEPTEVO;Produit
FENOFIBRATE;Substance
FENOFIBRATE ACTAVIS;Produit
FENOFIBRATE ALMUS;Produit
FENOFIBRATE ARROW;Produit
FENOFIBRATE ARROW GENERIQUES;Produit
FENOFIBRATE BIOGARAN;Produit
FENOFIBRATE CRISTERS;Produit
FENOFIBRATE EG;Produit
FENOFIBRATE FOURNIER;Produit
FENOFIBRATE MYLAN;Produit
FENOFIBRATE MYLAN PHARMA;Produit
FENOFIBRATE RANBAXY;Produit
FENOFIBRATE RATIOPHARM;Produit
FENOFIBRATE RPG;Produit
FENOFIBRATE SANDOZ;Produit
FENOFIBRATE TEVA;Produit
FENOFIBRATE TEVA SANTE;Produit
FENOFIBRATE ZENTIVA;Produit
FENOFIBRATE ZYDUS;Produit
FENOPROFENE CALCIUM;Substance
FENOTEROL (BROMHYDRATE DE);Substance
FENTANYL;Substance
FENTANYL (CITRATE DE);Substance
FENTANYL ARROW;Produit
FENTANYL BGR;Produit
FENTANYL BIOGARAN;Produit
FENTANYL EG;Produit
FENTANYL MYLAN;Produit
FENTANYL RANBAXY;Produit
FENTANYL SANDOZ;Produit
FENTANYL TEVA;Produit
FENTANYL TEVA SANTE;Produit
FENTANYL ZENTIVA;Produit
FENTICONAZOLE (NITRATE DE);Substance
FER (OXALATE DE);Substance
FERINJECT;Produit
FEROGRAD VITAMINE C;Produit
FERREUX (ASCORBATE);Substance
FERREUX (CHLORURE) TETRAHYDRATE;Substance
FERREUX (FUMARATE);Substance
FERREUX (GLUCONATE);Substance
FERREUX (SUCCINATE);Substance
FERREUX (SULFATE);Substance
FERRIQUE (CARBOXYMALTOSE);Substance
FERRIQUE (CHLORURE) HEXAHYDRATE;Substance
FERROSTRANE;Produit
FERTIFOL;Produit
FERTISTARTKIT;Produit
FESOTERODINE (FUMARATE DE);Substance
FEXOFENADINE BIOGARAN;Produit
FEXOFENADINE DCI PHARMA;Produit
FEXOFENADINE TEVA;Produit
FEXOFENADINE ZENTIVA;Produit
FIASP;Produit
FILGRASTIM (BACTERIE/ESCHERICHIA COLI);Substance
FINASTERIDE;Substance
FINASTERIDE ACCORD;Produit
FINASTERIDE ACTAVIS;Produit
FINASTERIDE ALMUS;Produit
FINASTERIDE ALTER;Produit
FINASTERIDE ARROW;Produit
FINASTERIDE ARROW LAB;Produit
FINASTERIDE BIOGARAN;Produit
FINASTERIDE CRISTERS;Produit
FINASTERIDE EG;Produit
FINASTERIDE HEXAL;Produit
FINASTERIDE ISOMED;Produit
FINASTERIDE MYLAN;Produit
FINASTERIDE MYLAN PHARMA;Produit
FINASTERIDE PFIZER;Produit
FINASTERIDE PHR LAB;Produit
FINASTERIDE RANBAXY;Produit
FINASTERIDE RATIOPHARM;Produit
FINASTERIDE SANDOZ;Produit
FINASTERIDE TEVA;Produit
FINASTERIDE ZENTIVA;Produit
FINASTERIDE ZYDUS;Produit
FINGOLIMOD (CHLORHYDRATE DE);Substance
FIRDAPSE;Produit
FIRMAGON;Produit
FIVASA;Produit
FIXICAL;Produit
FIXICAL VITAMINE D3;Produit
FIXORINOX;Produit
FLAGYL;Produit
FLAMMAZINE;Produit
FLANID;Produit
FLAVOXATE (CHLORHYDRATE DE);Substance
FLECAINE;Produit
FLECAINIDE (ACETATE DE);Substance
FLECAINIDE ARROW;Produit
FLECAINIDE ARROW LAB;Produit
FLECAINIDE BIOGARAN;Produit
FLECAINIDE MYLAN;Produit
FLECAINIDE RPG;Produit
FLECAINIDE TEVA;Produit
FLECAINIDE ZENTIVA;Produit
FLECAÏNIDE EG;Produit
FLECAÏNIDE SANDOZ;Produit
FLECTOR;Produit
FLEETPHOSPHOSODA;Produit
FLEXEA;Produit
FLIXONASE;Produit
FLIXOTIDE;Produit
FLIXOVATE;Produit
FLOCTAFENINE;Substance
FLODIL;Produit
FLORGYNAL;Produit
FLOXYFRAL;Produit
FLUANXOL;Produit
FLUARIX;Produit
FLUARIXTETRA;Produit
FLUBENDAZOLE;Substance
FLUCON;Produit
FLUCONAZOLE;Substance
FLUCONAZOLE ACTAVIS;Produit
FLUCONAZOLE ARROW;Produit
FLUCONAZOLE BIOGARAN;Produit
FLUCONAZOLE CRITERS;Produit
FLUCONAZOLE EG;Produit
FLUCONAZOLE MYLAN;Produit
FLUCONAZOLE PFIZER;Produit
FLUCONAZOLE RATIOPHARM;Produit
FLUCONAZOLE SANDOZ;Produit
FLUCONAZOLE TEVA;Produit
FLUCONAZOLE ZENTIVA;Produit
FLUCONAZOLE ZYDUS;Produit
FLUCORTAC;Produit
FLUCYTOSINE;Substance
FLUDARA;Produit
FLUDARABINE (PHOSPHATE DE);Substance
FLUDEX;Produit
FLUDROCORTISONE (ACETATE DE);Substance
FLUIDABAK;Produit
FLUINDIONE;Substance
FLUMEQUINE;Substance
FLUNARIZINE (CHLORHYDRATE DE);Substance
FLUNITRAZEPAM;Substance
FLUOCINOLONE (ACETONIDE DE);Substance
FLUOGEL;Produit
FLUOREX;Produit
FLUOROMETHOLONE;Substance
FLUOROURACIL;Substance
FLUORURE DE CALCIUM CRINEX;Produit
FLUOSTEROL;Produit
FLUOXETINE (CHLORHYDRATE DE);Substance
FLUOXETINE ACCORD;Produit
FLUOXETINE ACTAVIS;Produit
FLUOXETINE ALMUS;Produit
FLUOXETINE ALTER;Produit
FLUOXETINE ARROW;Produit
FLUOXETINE BIOGARAN;Produit
FLUOXETINE CRISTERS;Produit
FLUOXETINE EG;Produit
FLUOXETINE ISOMED;Produit
FLUOXETINE LBR;Produit
FLUOXETINE MYLAN;Produit
FLUOXETINE RANBAXY;Produit
FLUOXETINE RATIOPHARM;Produit
FLUOXETINE SANDOZ;Produit
FLUOXETINE TEVA;Produit
FLUOXETINE TEVA PHARMA;Produit
FLUOXETINE TEVA SANTE;Produit
FLUOXETINE ZENTIVA;Produit
FLUOXETINE ZYDUS;Produit
FLUPENTIXOL (CHLORHYDRATE DE);Substance
FLUPENTIXOL (DECANOATE DE);Substance
FLUPHENAZINE (DECANOATE DE);Substance
FLURBIPROFENE;Substance
FLURBIPROFENE SODIQUE DIHYDRATE;Substance
FLUTAMIDE;Substance
FLUTAMIDE BIOGARAN;Produit
FLUTAMIDE EG;Produit
FLUTAMIDE MYLAN;Produit
FLUTAMIDE TEVA;Produit
FLUTICASONE (PROPIONATE DE);Substance
FLUTIFORM;Produit
FLUVASTATINE ACCORD;Produit
FLUVASTATINE ACTAVIS;Produit
FLUVASTATINE ARROW;Produit
FLUVASTATINE BIOGARAN;Produit
FLUVASTATINE CEVIDRA;Produit
FLUVASTATINE CRISTERS;Produit
FLUVASTATINE EG;Produit
FLUVASTATINE EVOLUGEN;Produit
FLUVASTATINE ISOMED;Produit
FLUVASTATINE MYLAN;Produit
FLUVASTATINE RANBAXY;Produit
FLUVASTATINE RATIOPHARM;Produit
FLUVASTATINE SANDOZ;Produit
FLUVASTATINE SODIQUE;Substance
FLUVASTATINE ZENTIVA;Produit
FLUVASTATINE ZYDUS;Produit
FLUVATHEN;Produit
FLUVERMAL;Produit
FLUVOXAMINE (MALEATE DE);Substance
FLUVOXAMINE ARROW;Produit
FLUVOXAMINE EG;Produit
FLUVOXAMINE MYLAN;Produit
FLUVOXAMINE SANDOZ;Produit
FLUVOXAMINE TEVA;Produit
FOLINORAL;Produit
FOLIQUE (ACIDE);Substance
FOLIQUE (ACIDE) ANHYDRE;Substance
FOLLITROPINE ALFA (MAMMIFERE/HAMSTER/CELLULES CHO DHFR-);Substance
FOLLITROPINE ALFA (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
FOLLITROPINE BÊTA (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
FONDAPARINUX SODIQUE;Substance
FONGAMIL;Produit
FONGAREX;Produit
FONX;Produit
FORADIL;Produit
FORLAX;Produit
FORMOAIR;Produit
FORMODUAL;Produit
FORMODUAL NEXTHALER;Produit
FORMOTEROL (FUMARATE DE) DIHYDRATE;Substance
FORMOTEROL BIOGARAN;Produit
FORMOTEROL EG;Produit
FORMOTEROL MYLAN;Produit
FORMOTEROL ZENTIVA;Produit
FORSTEO;Produit
FORTRANS;Produit
FORTUM;Produit
FORTUMSET;Produit
FORTZAAR;Produit
FOSAMAX;Produit
FOSAMPRENAVIR CALCIQUE;Substance
FOSAVANCE;Produit
FOSFOMYCINE ACTAVIS;Produit
FOSFOMYCINE ARROW;Produit
FOSFOMYCINE BIOGARAN;Produit
FOSFOMYCINE CRISTERS;Produit
FOSFOMYCINE EG;Produit
FOSFOMYCINE EVOLUGEN;Produit
FOSFOMYCINE MYLAN PHARMA;Produit
FOSFOMYCINE RANBAXY;Produit
FOSFOMYCINE RATIOPHARM ADULTES;Produit
FOSFOMYCINE SANDOZ;Produit
FOSFOMYCINE TEVA SANTE;Produit
FOSFOMYCINE TROMETAMOL;Substance
FOSFOMYCINE ZENTIVA;Produit
FOSFOPHARM;Produit
FOSINOPRIL;Substance
FOSINOPRIL ARROW;Produit
FOSINOPRIL ARROW GENERIQUES;Produit
FOSINOPRIL BIOGARAN;Produit
FOSINOPRIL CRISTERS;Produit
FOSINOPRIL EG;Produit
FOSINOPRIL HYDROCHLOROTHIAZIDE ARROW;Produit
FOSINOPRIL HYDROCHLOROTHIAZIDE BIOGARAN;Produit
FOSINOPRIL HYDROCHLOROTHIAZIDE CRISTERS;Produit
FOSINOPRIL HYDROCHLOROTHIAZIDE EG;Produit
FOSINOPRIL HYDROCHLOROTHIAZIDE MYLAN;Produit
FOSINOPRIL HYDROCHLOROTHIAZIDE TEVA;Produit
FOSINOPRIL HYDROCHLOROTHIAZIDE ZENTIVA;Produit
FOSINOPRIL MYLAN;Produit
FOSINOPRIL SODIQUE;Substance
FOSINOPRIL TEVA;Produit
FOSINOPRIL ZENTIVA;Produit
FOSRENOL;Produit
FOSTIMONKIT;Produit
FOZIRETIC;Produit
FOZITEC;Produit
FRACTAL;Produit
FRAGMINE;Produit
FRAKIDEX;Produit
FRAMYCETINE (SULFATE DE);Substance
FRAMYXONE;Produit
FRAXIPARINE;Produit
FRAXODI;Produit
FROVATRIPTAN (SUCCINATE DE) MONOHYDRATE;Substance
FROVATRIPTAN MYLAN;Produit
FROVATRIPTAN TEVA;Produit
FUCIDINE;Produit
FUCITHALMIC;Produit
FULVESTRANT;Substance
FULVESTRANT SANDOZ;Produit
FUMAFER;Produit
FUNGIZONE;Produit
FUNGSTER;Produit
FURADANTINE;Produit
FURADOINE;Produit
FUROATE DE FLUTICASONE;Substance
FUROATE DE MOMETASONE MONOHYDRATE;Substance
FUROSEMIDE;Substance
FUROSEMIDE ARROW;Produit
FUROSEMIDE BIOGARAN;Produit
FUROSEMIDE EG;Produit
FUROSEMIDE EVOLUGEN;Produit
FUROSEMIDE MYLAN;Produit
FUROSEMIDE RANBAXY;Produit
FUROSEMIDE SANDOZ;Produit
FUROSEMIDE TEVA;Produit
FUROSEMIDE ZENTIVA;Produit
FUROSEMIDE ZYDUS;Produit
FUSIDATE DE SODIUM MYLAN;Produit
FUSIDATE DE SODIUM PIERRE FABRE;Produit
FUSIDIQUE (ACIDE);Substance
FUZEON;Produit
FYCOMPA;Produit
FYREMADEL;Produit
GABAPENTINE;Substance
GABAPENTINE ACTAVIS;Produit
GABAPENTINE ARROW;Produit
GABAPENTINE ARROW GENERIQUES;Produit
GABAPENTINE BIOGARAN;Produit
GABAPENTINE CRISTERS;Produit
GABAPENTINE EG;Produit
GABAPENTINE EG LABO;Produit
GABAPENTINE EVOLUGEN;Produit
GABAPENTINE MYLAN;Produit
GABAPENTINE PFIZER;Produit
GABAPENTINE RANBAXY;Produit
GABAPENTINE RATIOPHARM;Produit
GABAPENTINE RPG;Produit
GABAPENTINE SANDOZ;Produit
GABAPENTINE TEVA;Produit
GABAPENTINE ZENTIVA;Produit
GABAPENTINE ZYDUS;Produit
GABITRIL;Produit
GADOBUTROL;Substance
GADODIAMIDE;Substance
GADOLINIUM (OXYDE DE);Substance
GADOTERIDOL;Substance
GADOVIST;Produit
GALAFOLD;Produit
GALANTAMINE (BROMHYDRATE DE);Substance
GALANTAMINE ARROW;Produit
GALANTAMINE BIOGARAN;Produit
GALANTAMINE CRISTERS;Produit
GALANTAMINE EG;Produit
GALANTAMINE KRKA;Produit
GALANTAMINE MYLAN;Produit
GALANTAMINE SANDOZ;Produit
GALANTAMINE TEVA SANTE;Produit
GALANTAMINE ZENTIVA LAB;Produit
GALANTAMINE ZYDUS;Produit
GALVUS;Produit
GAMMATETANOS;Produit
GANCICLOVIR;Substance
GANFORT;Produit
GANIRELIX;Substance
GANIRELIX (ACETATE DE);Substance
GARDASIL;Produit
GARDENAL;Produit
GASTROGRAFINE;Produit
GASTROPULGITE;Produit
GAVISCON;Produit
GEFITINIB;Substance
GEL D'HYDROXYDE D'ALUMINIUM ET DE CARBONATE DE MAGNESIUM CODESSECHES;Substance
GEL LARMES;Produit
GELDENE;Produit
GELOX;Produit
GELTIM;Produit
GELUPRANE;Produit
GEMFIBROZIL;Substance
GENAC;Produit
GENOTONORM;Produit
GENTALLINE UNILABO;Produit
GENTAMICINE (SULFATE DE);Substance
GENTAMICINE PANPHARMA;Produit
GENVOYA;Produit
GESTODENE;Substance
GESTODENE ETHINYLESTRADIOL ARROW;Produit
GESTODENE ETHINYLESTRADIOL BIOGARAN;Produit
GESTODENE ETHINYLESTRADIOL MYLAN;Produit
GESTODENE ETHINYLESTRADIOL RATIOPHARM;Produit
GESTODENE ETHINYLESTRADIOL TEVA;Produit
GIBITER EASYHALER;Produit
GILENYA;Produit
GINKGO (EXTRAIT DE);Substance
GIOTRIF;Produit
GLATIRAMERE (ACETATE DE);Substance
GLECAPREVIR;Substance
GLIBENCLAMIDE;Substance
GLIBENCLAMIDE ARROW;Produit
GLIBENCLAMIDE BIOGARAN;Produit
GLIBENCLAMIDE EG;Produit
GLIBENCLAMIDE MYLAN;Produit
GLIBENCLAMIDE RANBAXY;Produit
GLIBENCLAMIDE RATIOPHARM;Produit
GLIBENCLAMIDE SANDOZ;Produit
GLIBENCLAMIDE TEVA;Produit
GLIBENESE;Produit
GLICLAZIDE;Substance
GLICLAZIDE ACTAVIS;Produit
GLICLAZIDE ARROW;Produit
GLICLAZIDE BGR;Produit
GLICLAZIDE BIOGARAN;Produit
GLICLAZIDE CRISTERS;Produit
GLICLAZIDE EG;Produit
GLICLAZIDE EG LABO LABORATOIRES EUROGENERICS;Produit
GLICLAZIDE EVOLUGEN;Produit
GLICLAZIDE ISOMED;Produit
GLICLAZIDE KRKA;Produit
GLICLAZIDE MYLAN;Produit
GLICLAZIDE MYLAN PHARMA;Produit
GLICLAZIDE RANBAXY;Produit
GLICLAZIDE RATIOPHARM;Produit
GLICLAZIDE RPG;Produit
GLICLAZIDE SANDOZ;Produit
GLICLAZIDE SERVIER;Produit
GLICLAZIDE TEVA;Produit
GLICLAZIDE ZENTIVA;Produit
GLICLAZIDE ZYDUS;Produit
GLIMEPIRIDE;Substance
GLIMEPIRIDE ACCORD HEALTHCARE;Produit
GLIMEPIRIDE ACTAVIS;Produit
GLIMEPIRIDE ARROW;Produit
GLIMEPIRIDE BGR;Produit
GLIMEPIRIDE CRISTERS;Produit
GLIMEPIRIDE EG;Produit
GLIMEPIRIDE EVOLUGEN;Produit
GLIMEPIRIDE MYLAN;Produit
GLIMEPIRIDE MYLAN PHARMA;Produit
GLIMEPIRIDE RANBAXY;Produit
GLIMEPIRIDE RATIO;Produit
GLIMEPIRIDE SANDOZ;Produit
GLIMEPIRIDE TEVA;Produit
GLIMEPIRIDE TEVA SANTE;Produit
GLIMEPIRIDE ZENTIVA;Produit
GLIMEPIRIDE ZYDUS;Produit
GLIPIZIDE;Substance
GLIPIZIDE MYLAN;Produit
GLIVEC;Produit
GLUCAGEN;Produit
GLUCAGON (CHLORHYDRATE DE) (LEVURES/SACCHAROMYCES CEREVISIAE);Substance
GLUCANTIME;Produit
GLUCOPHAGE;Produit
GLUCOPHOSPHATE DISODIQUE TETRAHYDRATE;Substance
GLUCOR;Produit
GLUCOSAMINE (CHLORHYDRATE DE);Substance
GLUCOSAMINE (SULFATE DE);Substance
GLUCOSE AGUETTANT;Produit
GLUCOSE B BRAUN;Produit
GLUCOSE BIOLUZ;Produit
GLUCOSE COOPER;Produit
GLUCOSE FRESENIUS;Produit
GLUCOSE LAVOISIER;Produit
GLUCOSE MACO PHARMA;Produit
GLUCOSE MONOHYDRATE;Substance
GLUCOSE VIAFLO;Produit
GLUTAMIQUE (ACIDE);Substance
GLYCEROL;Substance
GLYCEROL VASELINE PARAFFINE ARROW;Produit
GLYCEROL VASELINE PARAFFINE BIOGARAN;Produit
GLYCEROL VASELINE PARAFFINE CRISTERS;Produit
GLYCEROL VASELINE PARAFFINE EG;Produit
GLYCEROL VASELINE PARAFFINE MYLAN;Produit
GLYCEROL VASELINE PARAFFINE PIERRE FABRE SANTE;Produit
GLYCEROL VASELINE PARAFFINE SANDOZ;Produit
GLYCEROL VASELINE PARAFFINE TEVA;Produit
GLYCEROL VASELINE PARAFFINE ZENTIVA;Produit
GLYCEROPHOSPHATE DE SODIUM ANHYDRE;Substance
GLYCINE;Substance
GLYCOPYRRONIUM (BROMURE DE);Substance
GOLIMUMAB (MAMMIFERE/SOURIS/CELLULES SP2/0);Substance
GOMME DE STERCULIA;Substance
GOMME GUAR;Substance
GONADORELINE (ACETATE DE);Substance
GONADOTROPHINE CHORIONIQUE (MAMMIFERE/HUMAIN/URINE DE FEMME ENCEINTE);Substance
GONADOTROPHINE CHORIONIQUE ENDO;Produit
GONAL;Produit
GONAPEPTYL;Produit
GOSERELINE (ACETATE DE);Substance
GRANIONS;Produit
GRANISETRON (CHLORHYDRATE DE);Substance
GRANOCYTE;Produit
GRANUDOXY;Produit
GRAZAX;Produit
GRAZOPREVIR MONOHYDRATE;Substance
GRINDELIA (TEINTURE DE);Substance
GRISEFULINE;Produit
GRISEOFULVINE;Substance
GUTRON;Produit
GUÊPE POLISTE (VENIN DE);Substance
GUÊPE VESPILA (VENIN DE);Substance
GYDRELLE;Produit
GYNERGENE CAFEINE;Produit
GYNO DAKTARIN;Produit
GYNO PEVARYL;Produit
GYNO TROSYD;Produit
GYNOPURA;Produit
HALDOL;Produit
HALDOL DECANOAS;Produit
HALOPERIDOL;Substance
HALOPERIDOL (DECANOATE D');Substance
HARVONI;Produit
HAVLANE;Produit
HAVRIX;Produit
HAXIFAL;Produit
HBVAXPRO;Produit
HELICIDINE;Substance
HELICIDINE;Produit
HELICOBACTER TEST INFAI;Produit
HELIKIT;Produit
HELMINTOX;Produit
HEMANGIOL;Produit
HEMIDAONIL;Produit
HEMIGOXINE NATIVELLE;Produit
HEPARINE CALCIQUE;Substance
HEPARINE CHOAY;Produit
HEPARINE SODIQUE;Substance
HEPSERA;Produit
HEXABRIX;Produit
HEXAMIDINE (DIISETHIONATE D');Substance
HEXAMIDINE MYLAN;Produit
HEXAMIDINE RATIOPHARM;Produit
HEXAMINOLEVULINATE (CHLORHYDRATE D');Substance
HEXATRIONE;Produit
HEXOMEDINE;Produit
HEXVIX;Produit
HEXYON;Produit
HISTAMETHIZINE (CHLORHYDRATE D');Substance
HISTIDINE;Substance
HISTIDINE (CHLORHYDRATE D') MONOHYDRATE;Substance
HORMONE FOLLICULO STIMULANTE (MAMMIFERE/HUMAIN/URINE DE FEMME MENOPAUSEE);Substance
HORMONE LUTEINISANTE HUMAINE (MAMMIFERE/HUMAIN/URINE DE FEMME MENOPAUSEE);Substance
HUILE D'OLIVE RAFFINEE POUR PREPARATIONS INJECTABLES;Substance
HUILE DE POISSON RICHE EN ACIDES OMEGA-3 (POISSON);Substance
HUMALOG;Produit
HUMIRA;Produit
HYALGAN;Produit
HYCAMTIN;Produit
HYDREA;Produit
HYDROCHLOROTHIAZIDE;Substance
HYDROCORTANCYL;Produit
HYDROCORTISONE;Substance
HYDROCORTISONE (ACEPONATE D');Substance
HYDROCORTISONE (ACETATE D');Substance
HYDROCORTISONE (BUTYRATE D');Substance
HYDROCORTISONE (HEMISUCCINATE SODIQUE D');Substance
HYDROCORTISONE (HYDROGENOSUCCINATE D');Substance
HYDROCORTISONE BIOCODEX;Produit
HYDROCORTISONE ROUSSEL;Produit
HYDROCORTISONE UPJOHN;Produit
HYDROMORPHONE (CHLORHYDRATE D');Substance
HYDROQUINIDINE (CHLORHYDRATE D');Substance
HYDROXOCOBALAMINE (ACETATE D');Substance
HYDROXYCARBAMIDE;Substance
HYDROXYCHLOROQUINE (SULFATE D');Substance
HYDROXYPROGESTERONE (CAPROATE D');Substance
HYDROXYZINE (CHLORHYDRATE D');Substance
HYDROXYZINE ARROW;Produit
HYDROXYZINE BIOGARAN;Produit
HYDROXYZINE CRISTERS;Produit
HYDROXYZINE EG;Produit
HYDROXYZINE MYLAN;Produit
HYDROXYZINE SANDOZ;Produit
HYDROXYZINE TEVA;Produit
HYDROXYZINE ZENTIVA;Produit
HYPERIUM;Produit
HYPROMELLOSE;Substance
HYTACAND;Produit
HYTRINE;Produit
HYZAAR;Produit
IBRANCE;Produit
IBRUTINIB;Substance
IBUFETUM;Produit
IBUPROFENE;Substance
IBUPROFENE ACTAVIS;Produit
IBUPROFENE ALMUS;Produit
IBUPROFENE ARROW;Produit
IBUPROFENE BIOGARAN;Produit
IBUPROFENE CRISTERS;Produit
IBUPROFENE EG;Produit
IBUPROFENE EVOLUGEN;Produit
IBUPROFENE MYLAN;Produit
IBUPROFENE RPG;Produit
IBUPROFENE SANDOZ;Produit
IBUPROFENE TEVA;Produit
IBUPROFENE TEVA SANTE;Produit
IBUPROFENE ZENTIVA;Produit
IBUPROFENE ZYDUS;Produit
IBUPROFENE ZYDUS FRANCE;Produit
IBUPROPENE RATIOPHARM;Produit
ICAZ;Produit
ICLUSIG;Produit
IDARAC;Produit
IDEOS;Produit
IFIRMACOMBI;Produit
IFIRMASTA;Produit
IKOREL;Produit
ILARIS;Produit
IMATINIB (MESILATE D');Substance
IMATINIB ARROW LAB;Produit
IMATINIB BGR;Produit
IMATINIB CRISTERS;Produit
IMATINIB EG;Produit
IMATINIB HCS;Produit
IMATINIB MYLAN;Produit
IMATINIB RANBAXY;Produit
IMATINIB SANDOZ;Produit
IMATINIB TEVA;Produit
IMATINIB ZENTIVA;Produit
IMBRUVICA;Produit
IMETH;Produit
IMIDAPRIL (CHLORHYDRATE D');Substance
IMIGRANE;Produit
IMIJECT;Produit
IMIPENEM CILASTATINE ARROW;Produit
IMIPENEM CILASTATINE MYLAN;Produit
IMIPENEM MONOHYDRATE;Substance
IMIPRAMINE (CHLORHYDRATE D');Substance
IMIQUIMOD;Substance
IMMUCYST;Produit
IMMUGRIP;Produit
IMMUNOGLOBULINE EQUINE TETANIQUE PASTEUR;Produit
IMMUNOGLOBULINE HUMAINE ANTI-D (MAMMIFERE/HUMAIN/PLASMA);Substance
IMMUNOGLOBULINE HUMAINE TETANIQUE (MAMMIFERE/HUMAIN/PLASMA);Substance
IMMUNOSERUM TETANIQUE POUR USAGE HUMAIN (MAMMIFERE/CHEVAL/PLASMA);Substance
IMODIUM;Produit
IMOVANE;Produit
IMOVAX;Produit
IMPORTAL;Produit
IMRALDI;Produit
IMUREL;Produit
INCIVO;Produit
INCRELEX;Produit
INCRUSE;Produit
INDACATEROL (MALEATE D');Substance
INDAPAMIDE;Substance
INDAPAMIDE ARROW;Produit
INDAPAMIDE BIOGARAN;Produit
INDAPAMIDE EG;Produit
INDAPAMIDE HEMIHYDRATE;Substance
INDAPAMIDE ISOMED;Produit
INDAPAMIDE KRKA;Produit
INDAPAMIDE MYLAN;Produit
INDAPAMIDE RANBAXY;Produit
INDAPAMIDE RATIOPHARM;Produit
INDAPAMIDE SANDOZ;Produit
INDAPAMIDE TEVA;Produit
INDAPAMIDE TEVA SANTE;Produit
INDAPAMIDE ZENTIVA;Produit
INDAPAMIDE ZYDUS;Produit
INDINAVIR (SULFATE D');Substance
INDOBIOTIC;Produit
INDOCID;Produit
INDOCOLLYRE;Produit
INDOMETACINE;Substance
INDORAMINE (CHLORHYDRATE D');Substance
INEGY;Produit
INEXIUM;Produit
INFANRIX;Produit
INFANRIXQUINTA;Produit
INFANRIXTETRA;Produit
INFLUVAC;Produit
INFLUVAC TETRA;Produit
INIPOMP;Produit
INLYTA;Produit
INNOHEP;Produit
INNOVAIR;Produit
